gene estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue
MEOX1 -109.840829585216 0.0126763824079378 0.513253842928584 0.960371937038085 -81.3385872628802 0.143589445676112 0.660678805433782 0.982326711467416 -10.0277130840705 0.625655944101896 0.944152830054416 0.992330306929196 207.015653870468 0.814072583601018 0.261651843519668 0.907815420230414 258.181744095054 0.872278615511515 0.226539691756198 0.913016561695709 282.446733227827 0.921882909901391 0.268674307335679 0.932568236856421 -571.588076638302 0.97128476501131 0.317690848324217 0.964176038564104
LIG3 1033.29761183091 0.197652092908146 0.00659541297555489 0.398857065160962 1014.68927412912 0.508360722728819 0.00537693365602009 0.342755634096783 748.770604402514 0.596005319667147 0.0490379855031811 0.669326373572532 713.60769061271 0.747708732946284 0.0557117066248228 0.710622919068582 617.630695781197 0.863248575727451 0.104839789812092 0.81639185088146 451.429838736269 0.904332832249754 0.293666574535978 0.944693132537099 1352.08386121138 0.972835965694808 0.227788368054534 0.954056347028024
PRKAR2B 1038.98366417434 0.0204074739770908 0.405886576182113 0.94677455226698 560.876435042312 0.304226196888855 0.637995116105391 0.977823175453072 742.833213713423 0.434960928975941 0.585425449589871 0.973481958923856 495.09333696311 0.54845157053995 0.747226888686885 0.981442086403392 2284.55966302614 0.824583068311855 0.0725063592439893 0.781029323428697 2087.50012577221 0.888437855477089 0.121926081071788 0.857467409989607 12.8213111044393 0.954562521094376 0.997136804745707 0.99917203741262
BZRAP1 -234.368816354986 0.00183081862530919 0.804303564426741 0.990569659292755 182.927375517162 0.42695135412968 0.817218903543779 0.989255039116958 257.897273928267 0.509284008142367 0.767416060709408 0.978897881921468 308.571598930716 0.784062890833115 0.677741550747294 0.968033747296981 152.101287148805 0.854201597055149 0.841913159034534 0.992053727254334 94.892034798455 0.877148821577579 0.916181486269761 0.997956125616365 -2133.54964661712 0.972402530065003 0.14591367039777 0.945961196127985
PON1 159.426422344995 0.0644977281294572 0.135009544021923 0.828515600228283 262.207641787489 0.352782790860551 0.014778713503174 0.465807948291442 223.16631885685 0.503444860434206 0.0408129208007203 0.642094433491828 276.718631714977 0.665668352233061 0.0179740507675861 0.52280905740092 219.150202113568 0.877831334165907 0.0890597847979595 0.801573055128915 104.644392097515 0.939945204569332 0.43790657794322 0.975162603778361 51.7670008439503 0.957417417637072 0.795521065963338 0.997768084118936
WDR54 353.501470952618 0.0190903265034966 0.421619563355885 0.948158557138473 241.518527411342 0.144438981493302 0.61269647114508 0.972858455800405 189.132553506037 0.530461323980094 0.660723579150899 0.976588016861733 380.735518640407 0.616592997128952 0.4128708490581 0.933003124376066 317.042347323693 0.696021276028107 0.555516084926312 0.961230743387229 -26.3729972002569 0.863860024925542 0.95797142504947 0.998125155028994 -218.596984003048 0.930742954807729 0.744324897117384 0.996492321522132
CROT 1947.85676955079 0.0294625618126295 0.316832758880712 0.922338476943487 2033.01571195478 0.414803053824356 0.230382987782825 0.871671518605992 1351.49168062286 0.659724555592299 0.371552395216401 0.939042491771181 2627.7541311567 0.769190305141566 0.129498381853146 0.837227084734579 2824.33853752629 0.844453991354541 0.143420209390032 0.846183222439404 2049.92648891474 0.919945604387559 0.273577414599969 0.932568236856421 3267.36340444118 0.954860919812656 0.219578242707535 0.953299145682402
IBTK 396.143475448336 0.00382233646400019 0.720192318371525 0.984358910876688 297.588484688241 0.522005628659956 0.747046058540606 0.98504065850042 525.692259401802 0.668571567802659 0.567069588068867 0.970330645244482 -350.691490169111 0.815332012304424 0.679410403076866 0.968384815127705 -771.650449093333 0.875423091235624 0.366469613298397 0.937341093505498 -157.315789169504 0.939737949568335 0.861495263774485 0.997956125616365 130.327503760214 0.973515376808828 0.908616610447635 0.998898696998017
ZNF195 -13.2799646066339 0.000157375830021336 0.942111640749246 0.996686921374013 37.9794269316319 0.17189855823151 0.847703615405799 0.993398831617692 -93.3201187581776 0.468157382160727 0.649734981969635 0.976588016861733 -90.9296220246117 0.580384290706517 0.731767303199548 0.976456176304171 61.6872465114958 0.726698938761453 0.812519390479639 0.99158133834357 -111.379467604245 0.839915972948576 0.81516167592115 0.997956125616365 204.545696608104 0.876485441195291 0.83762530668735 0.998289563216943
MYCBP2 -3108.70161491538 0.00398286621669977 0.714618035819392 0.983590267512593 -8604.0824338091 0.359264020748209 0.2987500649394 0.912110050368196 -3511.4961799951 0.526312579316365 0.681810047404933 0.977414026151774 -2132.03705628438 0.643452149916709 0.823449607783964 0.98876423097553 -3172.07368289012 0.709902949392905 0.76280914050348 0.99158133834357 -7745.04645282676 0.925677154879286 0.354969537724523 0.963464777500918 4491.93938203385 0.987112928628531 0.508966550590648 0.989308201315624
